ActivityDate,Calories,TotalSteps,TotalDistance,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,ActivityCalories,Id
2024-01-02,,3842,1.05,1315,74,19,32,643.0,1
2024-01-03,,5884,2.26,1326,72,6,36,642.0,1
2024-01-04,,298,0.13,1438,2,0,0,5.0,1
2024-01-06,,3517,1.45,1358,61,4,17,361.0,1
2024-01-09,,287,0.12,1409,31,0,0,114.0,1
2024-01-10,,359,0.15,1398,42,0,0,201.0,1
2024-01-11,,2788,1.18,1368,62,4,6,305.0,1
2024-01-13,,4006,1.43,1284,66,35,55,830.0,1
2024-01-14,,620,0.26,1240,115,28,57,1056.0,1
2024-01-16,,5850,2.44,1340,62,4,34,549.0,1
2024-01-17,,2509,0.47,1363,25,7,45,492.0,1
2024-01-21,,10053,4.17,1301,51,35,53,743.0,1
2024-01-22,,2158,0.38,1362,27,5,46,517.0,1
2024-01-23,,3457,1.47,1348,58,26,8,409.0,1
2024-01-24,,8906,3.77,1278,84,28,50,800.0,1
2024-01-25,,3791,1.61,1378,40,0,22,321.0,1
2024-01-26,,1868,0.62,1364,49,18,9,334.0,1
2024-01-27,,18616,7.89,1030,381,21,8,1631.0,1
2024-01-28,,7675,3.29,1316,67,13,44,664.0,1
2024-01-29,,1979,0.42,1373,26,4,37,418.0,1
2024-01-30,,6513,2.76,1282,41,46,71,906.0,1
2016-03-25,1819.0,11004,7.1100001335144,804,205,12,33,,1503960366
2016-03-26,2154.0,17609,11.5500001907349,588,274,17,89,,1503960366
2016-03-27,1944.0,12736,8.52999973297119,605,268,5,56,,1503960366
2016-03-28,1932.0,13231,8.93000030517578,1080,224,20,39,,1503960366
2016-03-29,1886.0,12041,7.84999990463257,763,243,28,28,,1503960366
2016-03-30,1820.0,10970,7.15999984741211,1174,223,13,30,,1503960366
2016-03-31,1889.0,12256,7.8600001335144,820,239,12,33,,1503960366
2016-04-01,1868.0,12262,7.86999988555908,866,200,21,47,,1503960366
2016-04-02,1843.0,11248,7.25,636,244,11,40,,1503960366
2016-04-03,1850.0,10016,6.36999988555908,655,314,30,15,,1503960366
2016-04-04,2030.0,14557,9.80000019073486,757,285,18,43,,1503960366
2016-04-05,2083.0,14844,9.72999954223633,736,341,18,36,,1503960366
2016-04-06,1861.0,11974,7.67000007629395,1173,228,12,27,,1503960366
2016-04-07,1755.0,10198,6.44000005722046,1208,195,20,17,,1503960366
2016-04-08,1895.0,12521,7.94000005722046,1160,212,22,46,,1503960366
2016-04-09,1883.0,12432,8.10000038146973,738,248,15,32,,1503960366
2016-04-10,1755.0,10057,6.98000001907349,737,168,13,44,,1503960366
2016-04-11,1811.0,10990,7.26000022888184,855,216,14,26,,1503960366
2016-04-12,50.0,224,0.140000000596046,32,9,0,0,,1503960366
2016-03-25,1373.0,1810,1.17999994754791,1319,121,0,0,,1624580081
2016-03-26,1264.0,815,0.529999971389771,1393,47,0,0,,1624580081
2016-03-27,1350.0,1985,1.28999996185303,1328,112,0,0,,1624580081
2016-03-28,1342.0,1905,1.24000000953674,1345,95,0,0,,1624580081
2016-03-29,1300.0,1552,1.00999999046326,1374,66,0,0,,1624580081
2016-03-30,1313.0,1675,1.0900000333786,1356,84,0,0,,1624580081
2016-03-31,1498.0,4506,2.9300000667572,1285,144,4,7,,1624580081
2016-04-01,1541.0,9218,5.98999977111816,1219,221,0,0,,1624580081
2016-04-02,1327.0,1556,1.00999999046326,1352,88,0,0,,1624580081
2016-04-03,1452.0,2910,1.88999998569489,1283,157,0,0,,1624580081
2016-04-04,1574.0,18464,12.0,1170,270,0,0,,1624580081
2016-04-05,1308.0,1335,0.870000004768372,1366,74,0,0,,1624580081
2016-04-06,1276.0,1004,0.649999976158142,1385,55,0,0,,1624580081
2016-04-07,1278.0,1111,0.720000028610229,1386,54,0,0,,1624580081
2016-04-08,1409.0,6344,4.11999988555908,1297,143,0,0,,1624580081
